CBSA,CBSA Code,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI
"Aberdeen, SD",10100,180,166,14,0,0,0,0,61
"Aberdeen, WA",10140,244,242,2,0,0,0,0,83
"Adjuntas, PR",10260,18,18,0,0,0,0,0,37
"Adrian, MI",10300,182,149,32,1,0,0,0,122
"Akron, OH",10420,274,203,68,3,0,0,0,107
"Albany, GA",10500,244,182,60,2,0,0,0,114
"Albany, OR",10540,182,161,21,0,0,0,0,70
"Albany-Schenectady-Troy, NY",10580,274,240,34,0,0,0,0,75
"Albuquerque, NM",10740,183,101,82,0,0,0,0,100
"Alexandria, LA",10780,61,57,3,1,0,0,0,103
"Allentown-Bethlehem-Easton, PA-NJ",10900,244,206,38,0,0,0,0,93
"Altoona, PA",11020,239,206,33,0,0,0,0,85
"Amarillo, TX",11100,244,160,77,7,0,0,0,138
"Americus, GA",11140,212,209,3,0,0,0,0,64
"Anchorage, AK",11260,183,158,24,1,0,0,0,103
"Ann Arbor, MI",11460,244,199,42,3,0,0,0,126
"Appleton, WI",11540,182,149,31,2,0,0,0,126
"Ardmore, OK",11620,271,178,92,1,0,0,0,147
"Arkadelphia, AR",11660,221,220,1,0,0,0,0,67
"Asheville, NC",11700,274,241,33,0,0,0,0,97
"Ashtabula, OH",11780,274,257,17,0,0,0,0,93
"Athens, OH",11900,51,49,2,0,0,0,0,55
"Athens, TN",11940,174,164,10,0,0,0,0,88
"Athens-Clarke County, GA",12020,244,219,25,0,0,0,0,99
"Atlanta-Sandy Springs-Roswell, GA",12060,275,192,80,3,0,0,0,125
"Atlantic City-Hammonton, NJ",12100,182,174,8,0,0,0,0,90
"Augusta-Richmond County, GA-SC",12260,274,212,58,4,0,0,0,115
"Augusta-Waterville, ME",12300,215,212,3,0,0,0,0,64
"Austin-Round Rock, TX",12420,183,135,47,0,1,0,0,153
"Bakersfield, CA",12540,214,89,116,8,1,0,0,197
